function	callsite	destination	source	key_len	output_len	printable_score	text
0x1BEA10	0xAD87C	0x2A9000	0x2FBDA	30	22	1.000	/debug_ramdisk/magisk
0x1BED1C	0xAD8B0	0x2A901C	0x2FC3B	9	19	1.000	/system/bin/magisk
0x1BEF90	0xAD97C	0x2A9034	0x2FC6C	20	42	1.000	command -v magisk 2>/dev/null | head -n 1
0x1BF1D0	0xADC48	0x2A9064	0x2FCD8	25	14	1.000	KernelSU_NULL
0x1BF714	0xADD80	0x2A908C	0x2FD5E	24	16	1.000	KernelSU_越狱
0x1BF8AC	0xADEDC	0x2A90A0	0x2FDBF	26	7	1.000	APatch
0x1C00F4	0xAE590	0x2A90CC	0x2FEB9	18	2	1.000	/
0x1C0210	0xAF790	0x2A90D4	0x2FEF8	31	9	1.000	CURLE_OK
0x1C0490	0xAFA8C	0x2A90E4	0x2FF5F	17	11	1.000	curl_code_
0x1C0790	0xAFBFC	0x2A90F4	0x2FF8E	26	5	1.000	url=
0x1C0964	0xAFC3C	0x2A9100	0x2FFD5	13	14	1.000	; curl_ready=
0x1C0A5C	0xAFDC8	0x2A9114	0x3000D	9	13	1.000	; curl_code=
0x1C0C74	0xAFE04	0x2A9128	0x30038	21	14	1.000	; curl_error=
0x1C0E48	0xAFE38	0x2A913C	0x30086	29	13	1.000	; http_code=
0x1C0FD8	0xAFE6C	0x2A9150	0x300E7	22	13	1.000	; body_size=
0x1C1518	0xAF0A4	0x2A9178	0x30165	12	48	1.000	curl_easy_init failed or libcurl is unavailable
0x1C1838	0xB1018	0x2A91AC	0x301C5	22	3	1.000	wb
0x1C1B58	0xAA9F0	0x2A91B4	0x301EF	14	2	1.000	""""
0x1C2168	0xB2418	0x2A91C4	0x3025A	17	7	1.000	LOCKED
0x1C2314	0xB2558	0x2A91D0	0x30292	26	9	1.000	UNLOCKED
0x1C2418	0xB262C	0x2A91E0	0x302CB	26	17	1.000	POSSIBLY_SPOOFED
0x1C2C5C	0xB27B0	0x2A9214	0x303B3	18	11	1.000	bl_source=
0x1C2F78	0xB1F90	0x2A9224	0x303E7	27	20	1.000	bl_cmdline_spoofed=
0x1C304C	0xB226C	0x2A923C	0x3043B	24	6	1.000	cache
0x1C31F8	0xB3120	0x2A9248	0x30496	28	9	1.000	bl_state
0x1C3888	0xB3644	0x2A9268	0x3051A	19	19	1.000	bl_cmdline_spoofed
0x1C3EE4	0xB4014	0x2A92AC	0x30612	20	55	1.000	\n[*] 正在通过 BL 检测脚本判断解锁状态...
0x1C3FC8	0xB424C	0x2A92E8	0x319A2	21	21	1.000	script_decode_failed
0x1C40CC	0xB4314	0x2A9304	0x319FA	28	13	1.000	bl_check.log
0x1C42D8	0xB4520	0x2A9318	0x31A5D	12	43	1.000	state=UNKNOWN, source=script_decode_failed
0x1C4490	0xB4444	0x2A9348	0x31AD2	21	14	1.000	, persisted=1
0x1C4778	0xB44E4	0x2A935C	0x31B2B	14	14	1.000	, persisted=0
0x1C4CAC	0xB4704	0x2A93A4	0x31BF0	19	13	1.000	最终诊断
0x1C4DA4	0xB47EC	0x2A93B8	0x31C30	27	36	1.000	/proc/cmdline 被 Bind Mount 劫持
0x1C4FF0	0xB48F0	0x2A93E0	0x31C93	8	13	1.000	环境劫持
0x1C5334	0xB4A90	0x2A9400	0x31D18	10	21	1.000	Bootloader 已解锁
0x1C55EC	0xB4CA4	0x2A941C	0x31D6C	11	21	1.000	Bootloader 未解锁
0x1C5CD8	0xB5140	0x2A9454	0x31E1C	26	11	1.000	, spoofed=
0x1C5EA0	0xB537C	0x2A9464	0x31E52	27	21	1.000	[*] BL检测结果: 
0x1C65A8	0xB5454	0x2A94A4	0x31F06	14	53	1.000	[!] BL 未解锁，完整性相关资源将跳过。
0x1C67F4	0xB6C28	0x2A94E0	0x31F74	10	16	1.000	/work_mode.prop
0x1C6A8C	0x11E3CC	0x2A9504	0x32009	20	14	1.000	YH_ROOT_TYPE=
0x1C6C54	0xB90B0	0x2A9518	0x32060	15	6	1.000	/proc
0x1C6EA0	0xB9574	0x2A9524	0x3209C	25	7	1.000	/proc/
0x1C7100	0xB95C0	0x2A9530	0x320DB	17	9	1.000	/cmdline
0x1C7344	0xBA370	0x2A9540	0x32132	30	28	1.000	ksud debug info 2>/dev/null
0x1C74F4	0xBA87C	0x2A9560	0x32193	25	11	1.000	late_load:
0x1C76C4	0xBA950	0x2A9570	0x321F5	29	5	1.000	true
0x1C786C	0xBAC30	0x2A957C	0x32249	29	14	1.000	ro.debuggable
0x1C7A34	0xBAC6C	0x2A9590	0x322AB	28	14	1.000	ro.adb.secure
0x1C7D28	0xBACA8	0x2A95A4	0x322EA	28	17	1.000	service.adb.root
0x1C7ED0	0xBACE4	0x2A95BC	0x32343	17	21	1.000	service.adb.tcp.port
0x1C82F4	0xBB048	0x2A95E4	0x323CF	9	26	1.000	me.weishu.kernelsu.magica
0x1C84BC	0xBB07C	0x2A9604	0x32423	10	14	1.000	magicaservice
0x1C8718	0xBB0B4	0x2A9618	0x3247A	16	15	1.000	kernelsumagica
0x1C8A04	0xBB0E4	0x2A962C	0x324CD	9	24	1.000	ksud late-load --magica
0x1C9174	0xBB858	0x2A9688	0x325B2	11	12	1.000	 | 来源: 
0x1C9260	0xBBDB4	0x2A9698	0x325E9	19	35	1.000	[*] 使用开机缓存 BL 状态: 
0x1C9370	0xBBF8C	0x2A96C0	0x32653	24	14	1.000	cache_missing
0x1C9520	0xBBFD8	0x2A96D4	0x326B3	21	57	1.000	[!] 未找到开机 BL 状态缓存，按 UNKNOWN 处理
0x1C9784	0xBC5F0	0x2A9714	0x32738	29	8	1.000	chipset
0x1C9A0C	0xBC760	0x2A9720	0x32794	26	40	1.000	[*] 使用缓存处理器识别结果: 
0x1C9BD4	0xBC950	0x2A974C	0x327E6	24	20	1.000	ro.soc.manufacturer
0x1CA150	0xBCA64	0x2A9790	0x328DC	17	12	1.000	ro.hardware
0x1CAD38	0xBCD88	0x2A9808	0x32A3B	31	8	1.000	unknown
0x1CAF90	0xBCDC4	0x2A9814	0x32A86	10	8	1.000	Unknown
