URL	分类	出现位置
http://java.sun.com/j2se/1.6.0/docs/guide/standards/	静态 URL 字符串（需结合调用点判断用途）	jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_de.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_es.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_fr.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_it.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_ja.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_ko.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_pt_BR.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_zh_CN.properties; jadx-readable/resources/com/sun/xml/bind/v2/model/impl/Messages_zh_TW.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_de.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_es.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_fr.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_it.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_ja.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_ko.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_pt_BR.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_zh_CN.properties; unknown/com/sun/xml/bind/v2/model/impl/Messages_zh_TW.properties
http://java.sun.com/txw	静态 URL 字符串（需结合调用点判断用途）	jadx-readable/resources/com/sun/xml/bind/v2/schemagen/xmlschema/xmlschema-for-jaxb.rng; unknown/com/sun/xml/bind/v2/schemagen/xmlschema/xmlschema-for-jaxb.rng
http://relaxng.org/ns/structure/1.0	静态 URL 字符串（需结合调用点判断用途）	jadx-readable/resources/com/sun/xml/bind/v2/schemagen/xmlschema/xmlschema-for-jaxb.rng; unknown/com/sun/xml/bind/v2/schemagen/xmlschema/xmlschema-for-jaxb.rng
http://schemas.android.com/apk/res-auto	Android XML 命名空间	jadx-readable/resources/res/layout/aadialog_base.xml; jadx-readable/resources/res/layout/abc_action_menu_layout.xml; jadx-readable/resources/res/layout/abc_action_mode_close_item_material.xml; jadx-readable/resources/res/layout/abc_alert_dialog_material.xml; jadx-readable/resources/res/layout/abc_screen_toolbar.xml; jadx-readable/resources/res/layout/abc_select_dialog_material.xml; res/layout/aadialog_base.xml; res/layout/abc_action_menu_layout.xml; res/layout/abc_action_mode_close_item_material.xml; res/layout/abc_alert_dialog_material.xml; res/layout/abc_screen_toolbar.xml; res/layout/abc_select_dialog_material.xml
