"Root"	"RelativePath"	"Bytes"	"Extension"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.graphics_graphics-path.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.interpolator_interpolator.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.legacy_legacy-support-core-utils.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata-core-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-process.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime-compose.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel-savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.loader_loader.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.localbroadcastmanager_localbroadcastmanager.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.print_print.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.profileinstaller_profileinstaller.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate-compose.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.startup_startup-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.tracing_tracing.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.transition_transition.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.vectordrawable_vectordrawable.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.vectordrawable_vectordrawable-animated.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.versionedparcelable_versionedparcelable.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.window_window.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.window_window-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\com\android\build\gradle\app-metadata.properties"	"56"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\kotlinx_coroutines_android.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\kotlinx_coroutines_core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\native-image\com.alibaba.fastjson2\fastjson2\native-image.properties"	"1903"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\native-image\okhttp\okhttp\native-image.properties"	"144"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\okhttp.kotlin_module"	"802"	".kotlin_module"
"FkWeChat_1.2.6-extracted"	"META-INF\scm\com.alibaba.fastjson2\fastjson2\git.properties"	"928"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\services\a7.f"	"5"	".f"
"FkWeChat_1.2.6-extracted"	"META-INF\services\ec.l0"	"5"	".l0"
"FkWeChat_1.2.6-extracted"	"META-INF\services\jc.r"	"5"	".r"
"FkWeChat_1.2.6-extracted"	"META-INF\services\m9.b"	"5"	".b"
"FkWeChat_1.2.6-extracted"	"META-INF\services\sa.j"	"15"	".j"
"FkWeChat_1.2.6-extracted"	"META-INF\version-control-info.textproto"	"46"	".textproto"
"FkWeChat_1.2.6-extracted"	"META-INF\xposed\java_init.list"	"39"	".list"
"FkWeChat_1.2.6-extracted"	"META-INF\xposed\module.prop"	"74"	".prop"
"FkWeChat_1.2.6-extracted"	"META-INF\xposed\scope.list"	"14"	".list"
"FkWeChat_1.2.6-extracted"	"module.prop"	"152"	".prop"
"FkWeChat_1.2.6-extracted"	"res\yn.png"	"30373"	".png"
"FkWeChat_1.2.6-extracted"	"resources.arsc"	"264464"	".arsc"
"FkWeChat_1.2.6-extracted"	"schema\2020-12.json"	"2452"	".json"
"FkWeChat_1.2.6-extracted"	"schema\draft-04.json"	"3603"	".json"
"FkWeChat_1.2.6-extracted"	"webroot\css\style.css"	"2411"	".css"
"FkWeChat_1.2.6-extracted"	"webroot\icon.png"	"44143"	".png"
"FkWeChat_1.2.6-extracted"	"webroot\index.html"	"10362"	".html"
"FkWeChat_1.2.6-extracted"	"webroot\js\app.js"	"9579"	".js"
"FkWeChat_1.2.6-extracted"	"webroot\libs\kernelsu-index.js"	"3268"	".js"
"FkWeChat_1.2.6-extracted"	"webroot\libs\material-icons.css"	"421"	".css"
"FkWeChat_1.2.6-extracted"	"webroot\libs\MaterialIcons-Regular.ttf"	"356840"	".ttf"
"FkWeChat_1.2.6-extracted"	"webroot\libs\mdui.css"	"22776"	".css"
"FkWeChat_1.2.6-extracted"	"webroot\libs\mdui.global.js"	"355590"	".js"
"FkWeChat_1.2.6-extracted"	"webroot\libs\vue.esm-browser.js"	"552547"	".js"
"FkWeChat_1.2.6-extracted"	"webroot\utils\helper.js"	"4922"	".js"
"FkWeChat_1.2.6-extracted"	"zygisk\arm64-v8a.so"	"440032"	".so"
"FkWeChat_1.2.6-jadx"	"resources\AndroidManifest.xml"	"4684"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\assets\assets.zip"	"9034"	".zip"
"FkWeChat_1.2.6-jadx"	"resources\assets\dexopt\baseline.prof"	"8652"	".prof"
"FkWeChat_1.2.6-jadx"	"resources\assets\dexopt\baseline.profm"	"1270"	".profm"
"FkWeChat_1.2.6-jadx"	"resources\assets\protected_by_np\ApkDex2CPro_c35bd4c930a0407088b93d251f6cadd9.txt"	"142"	".txt"
"FkWeChat_1.2.6-jadx"	"resources\assets\PublicSuffixDatabase.list"	"132737"	".list"
"FkWeChat_1.2.6-jadx"	"resources\assets\xposed_init"	"38"	""
"FkWeChat_1.2.6-jadx"	"resources\customize.sh"	"1342"	".sh"
"FkWeChat_1.2.6-jadx"	"resources\DebugProbesKt.bin"	"1733"	".bin"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\annotation\annotation.kotlin_builtins"	"1022"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\collections\collections.kotlin_builtins"	"8625"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\concurrent\atomics\atomics.kotlin_builtins"	"2882"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\coroutines\coroutines.kotlin_builtins"	"139"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\internal\internal.kotlin_builtins"	"596"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\kotlin.kotlin_builtins"	"30920"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\ranges\ranges.kotlin_builtins"	"4353"	".kotlin_builtins"
